ACCT,5101,"Naples,Tammy",4.9,3.1,100,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
ACCT,5102,"Fang,Vivian W",4.3,3.5,80,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ACCT,5102,"Johnson,Scott",5,3,100,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
ACCT,5125W,"Johnson,Scott",5,3,100,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
ACCT,5125W,"Beil,Frank J",3.9,2.6,100,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ACCT,5126,"Grayson,John",4.6,2.4,83.3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
ACCT,5135,"Gutterman,Paul Gerard",2.5,4.9,20,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
ACCT,5141,"Madsen,Joshua M",4.1,4,79.5,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
ACCT,5161,"Beil,Frank J",3.9,2.6,100,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ACCT,5181,"Forester,Clayton L",4,3.5,91.9,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
ACCT,5201,"White,Paul Andrew",4.5,3.4,85.7,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ACCT,5236,"Conlon,Roger John",3.4,2.5,80,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0
ACCT,5311,"Forester,Clayton L",4,3.5,91.9,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
ACCT,5900,"Mongeon,Anna Z",,,,,,,,,,,,,,,,,,,,,,,,
ACCT,6102,"Poch,Kendell Kaye",5,3,96.8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
ADDS,5011,"Bassett,Elizabeth Ann",3.3,3.3,-1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
ADDS,5031,"McLoone,Ian P",,,,,,,,,,,,,,,,,,,,,,,,
ADDS,5051,"Hegblom,Tom",,,,,,,,,,,,,,,,,,,,,,,,
ADDS,5061,"Karim,Fiyyaz Allaui Anoor Ibn",4.5,2.9,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
ADDS,5081,"Karim,Fiyyaz Allaui Anoor Ibn",4.5,2.9,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
ADDS,5121,"Ingwalson,Ann",4.2,2.7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADES,2211,"Kandler,Luci",0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADES,2214,"Yu,Minji",,,,,,,,,,,,,,,,,,,,,,,,
ADES,2221,"Bye,Missy",,,,,,,,,,,,,,,,,,,,,,,,
ADES,3223,"Kandler,Luci",0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADES,4121,"Reiley,Kathryn Jeanette",3.1,3,50,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
ADES,4215,"Griffin,Linsey",,,,,,,,,,,,,,,,,,,,,,,,
AECM,2421W,"Tank,Greta Marie",,,,,,,,,,,,,,,,,,,,,,,,
AECM,3106,"Dornink,Sarah Arlene",,,,,,,,,,,,,,,,,,,,,,,,
AECM,3431,"Steede,Garrett Michael",5,4,100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AECM,3434,"Steede,Garrett Michael",5,4,100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AECM,3462,"McKay,Troy D",4.3,1.9,80,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
AECM,4432,"McKay,Troy D",4.3,1.9,80,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
AEM,2011,,,,,,,,,,,,,,,,,,,,,,,,,
AEM,2012,,,,,,,,,,,,,,,,,,,,,,,,,
AEM,2021,,,,,,,,,,,,,,,,,,,,,,,,,
AEM,2031,,,,,,,,,,,,,,,,,,,,,,,,,
AEM,2301,"Hemati,Maziar Sam",4,3,84.6,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
AEM,3031,,,,,,,,,,,,,,,,,,,,,,,,,
AEM,3103,"Gebre Egziabher,Demoz",5,2.9,100,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
AEM,4202,"Longmire,Ellen K",3,3.8,71.4,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
AEM,4203,"Green,Melissa",2.8,3.4,50,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AEM,4301,"Strandjord,Kirsten L",4.5,4,88.9,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AEM,4303W,"Gebre Egziabher,Demoz",5,2.9,100,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
AEM,4305,"Caverly,Ryan",5,2.8,100,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AEM,4333,"Mueller,Joseph Bernard",2.9,3.5,52.6,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
AEM,4501,"Elliott,Ryan S.",4,2.9,100,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
AEM,4511,"Leo,Perry H",4.3,3.4,84.6,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0
AEM,4601,,,,,,,,,,,,,,,,,,,,,,,,,
AEM,8000,"Elliott,Ryan S.",4,2.9,100,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
AEM,8202,"Nichols,Joseph W",3.9,3.9,90.9,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
AEM,8453,"Hemati,Maziar Sam",4,3,84.6,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
AEM,8551,"Tadmor,Ellad B",4.5,3.3,100,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AFRO,1131,"Wayessa,Bula Sirika",5,2.3,100,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
AFRO,3016,"Wayessa,Bula Sirika",5,2.3,100,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
AFRO,3108,"Williams,Yolanda Y.",3.4,2.4,66.7,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AFRO,3125W,"Brewer,Rose Marie",2.9,3.8,50,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
